NAMA PENGINAPAN,BINTANG/NON BINTANG,GOLONGAN,JUMLAH KAMAR,ALAMAT,Latitude,Longitude
Eclipse Hotel,Bintang,Bintang Dua,27.0,Jl. Prawirotaman No. 35,-7.818932554,110.3720651
Edelweiss Hotel,Bintang,Bintang Tiga,95.0,Jl. Gejayan No. 17 C,-7.779988163,110.3879194
Edotel Kenari Yogyakarta,Non Bintang,Melati,20.0,Jl. Kenari No.4,-7.797567054,110.3822279
Edotel Umbulharjo Yogyakarta,Non Bintang,Melati,15.0,Jl. Sidikan No. 60,-7.820581326,110.385236
Edu Hostel,Non Bintang,Melati,60.0,Jl. Letjend Suprapto No. 17,-7.799230555,110.3561532
Ekkon Hotel,Non Bintang,Melati,24.0,Jl. Hos Cokroaminoto Cokro Square Kavling O,-7.789464829,110.3540804
Eko Ariyanto Homestay,Non Bintang,Akomodasi Lain,3.0,Sosrowijayan Wetan GT 1 No 106,-7.790055349,110.3651598
El Royal Hotel Malioboro,Bintang,Bintang Empat,108.0,Dagen No. 6,-7.793397221,110.3649514
Emdi House Timoho,Non Bintang,Melati,10.0,Jl. Timoho 2 No. 32 A,-7.79566153,110.3908904
Emersia Malioboro Hotel,Bintang,Bintang Tiga,51.0,Jl. Gowongan Kidul No. 34,-7.786754877,110.3641288
Emilia Homestay Kost Eksklusive,Non Bintang,Pondok Wisata,10.0,Gejayan Kepuh GK III/976,-7.780906983,110.3866352
F77 Hotel,Non Bintang,Melati,19.0,Jl. RE Martadinata 73,-7.800885367,110.3489675
Famili Homestay,Non Bintang,Melati,16.0,Jl. Sosrowijayan No. 47,-7.79141729,110.362916
Familia Residence,Non Bintang,Melati,15.0,Jl. Bausaran DN 3/949,-7.796185093,110.3753659
Family Losmen,Non Bintang,Melati,25.0,Jl. Dagen No. 14,-7.793435967,110.3645338
Family Villa,Non Bintang,Vila,3.0,Awana Town House No. 19,-7.813205175,110.366304
Faros/Home Stay Agus,Non Bintang,Pondok Wisata,2.0,Kemetiran Kidul GT 2 No. 742,-7.79281191,110.3569802
Fatia Homestay,Non Bintang,Akomodasi Lain,2.0,Kebun Raya No. 29 Gg. Teratai,-7.805734894,110.3984886
Fave Hotel,Bintang,Bintang Tiga,101.0,Jl. Kusumanegara No. 91,-7.801025374,110.3882374
Fave Hotel Malioboro,Bintang,Bintang Tiga,75.0,Jl. I Dewa Nyoman Oka No. 30 Kotabaru,-7.785359696,110.3699484
Fevytra Hotel,Non Bintang,Melati,22.0,Jl. Prof. Dr. Supomo SH 1060,-7.81322148,110.3892919
Forriz Hotel,Bintang,Bintang Empat,116.0,Hos Cokroaminoto No. 60 Pakuncen,-7.795292679,110.3534946
Fortuna Guest House,Non Bintang,Pondok Wisata,9.0,Jl. Pugeran Timur No. 22,-7.815102148,110.3591289
Front One Cabin Malioboro,Bintang,Bintang Satu,27.0,Jl. Jagalan Beji No. 61,-7.79694509,110.3705555
Gaia Cosmo Hotel,Bintang,Bintang Tiga,179.0,Jl. Ipda Tut Harsono No. 16 Muja Muju,-7.798723673,110.3928705
Gajah Guest House Wisma,Non Bintang,Pondok Wisata,25.0,Jl. Prawirotaman No. 4,-7.818885813,110.368604
Gallery Prawirotaman Hotel,Bintang,Bintang Empat,94.0,Jl. Prawirotaman II/ Jl. Gerilya No. 839 B MG,-7.820140155,110.3712935
Galuh Anindita Hotel,Non Bintang,Melati,30.0,Jl. Candra Kirana No. 10,-7.781290323,110.376991
Gautama Hotel,Non Bintang,Melati,10.0,Sosrokusuman DN I/181,-7.793777881,110.3673315
Gedong Kuning Hotel,Non Bintang,Melati,15.0,Jl Gedong Kuning No. 82A,-7.806277836,110.4018953
Giri Artha Guest House,Non Bintang,Akomodasi Lain,11.0,Tegal Panggung No. 42,-7.794719071,110.3710637
Gloria Amanda Hotel,Non Bintang,Melati,42.0,Jl. Sosrowijayan GT I/195,-7.790886558,110.3634111
Glory Homestay,Non Bintang,Pondok Wisata,3.0,Timuran MG 3 No. 85,-7.81729967,110.3687787
Good Karma Home Stay,Non Bintang,Pondok Wisata,5.0,Timuran MG 3/100,-7.816474511,110.3693442
Gowongan Inn,Bintang,Bintang Tiga,54.0,Jl. Gowongan Kidul No. 50,-7.786787086,110.3631925
Grage Jogja Hotel,Bintang,Bintang Dua,87.0,Jl. Sosrowijayan No. 242,-7.791100739,110.3623193
Grage Ramayana Hotel,Bintang,Bintang Tiga,71.0,Jl. Sosrowijayan No. 33,-7.791731799,110.3638782
Graha Kinasih Kotabaru,Bintang,Bintang Satu,19.0,"Jl. Ungaran No. 1 Kotabaru, Gondokusuman",-7.786970576,110.3706131
Gran Puri Saron Hotel,Non Bintang,Melati,47.0,Sosrowijayan No. 70,-7.79110023,110.3628993
Grand Aston Yogyakarta Hotel Convention Center,Bintang,Bintang Lima,146.0,Jl. Urip Sumoharjo No. 37,-7.782585054,110.3819042
Grand Marto Hotel,Non Bintang,Melati,16.0,Jl. Sisingamangaraja No. 78,-7.818658267,110.3730824
Grand Rosela Hotel,Bintang,Bintang Satu,51.0,Jl. Prawirotaman No. 28,-7.819124338,110.3711863
Grand Senyum Hotel,Bintang,Bintang Tiga,57.0,Jl. P. Diponegoro No. 27,-7.783204494,110.3654376
Grand Surya Hotel,Non Bintang,Melati,17.0,Jl. Suryodoningratan No. 428,-7.817276712,110.3582288
Grand Zea Homestay,Non Bintang,Akomodasi Lain,10.0,Golo Gang Pulanggeni No. 5/421 A,-7.814336923,110.3807049
Grand Zuri Malioboro Yogyakarta Hotel,Bintang,Bintang Empat,138.0,Jl. Margo Utomo No. 18,-7.787454456,110.367003
Green Host PT Samudra Parama Avi Rodha Hotel,Bintang,Bintang Tiga,96.0,Prawirotaman 2/629,-7.819997197,110.369066
Grha Somaya Hotel,Non Bintang,Melati,34.0,Jl. Mentri Supeno No. 28 BC,-7.815994969,110.378039
Griya Asrie Homestay,Non Bintang,Pondok Wisata,5.0,Prawirotaman MG 3 No.578,-7.817757812,110.3723618
Griya Jogja Hotel,Non Bintang,Melati,20.0,Jl. Pakuningratan No. 3,-7.767820321,110.3581632
Griya Kayon,Non Bintang,Akomodasi Lain,6.0,"Mojo 2, GK IV/415 Gendeng",-7.790183658,110.3877345
Griya Kebun Raya Guest House,Non Bintang,Akomodasi Lain,14.0,Kebun Raya No.45,-7.807793278,110.398127
Griya Nalendra Guest House,Non Bintang,Pondok Wisata,10.0,Kepuh GK3/1050,-7.782074624,110.385916
Griya Paku,Non Bintang,Akomodasi Lain,11.0,Pakuningratan No. 58,-7.780475373,110.3623305
Griya Patehan,Non Bintang,Akomodasi Lain,5.0,Patehan Lor No. 22 ,-7.811622038,110.3611696
Griya Putri Dewi Guest House,Non Bintang,Akomodasi Lain,11.0,SuriptoNo. 506 A,-7.822776412,110.3657348
Griya Sastrowardoyo Guest House,Non Bintang,Akomodasi Lain,7.0,Jl. AM Sangaji No. 60,-7.77541716,110.3681987
Griya Sentana Hotel,Non Bintang,Melati,18.0,Jl. Gowongan Lor No 65-67,-7.784986246,110.3634208
Griya Surya Wijilan,Non Bintang,Akomodasi Lain,3.0,Ibu Ruswo No. 25,-7.803153728,110.3669019
Griya Wijilan Syariah Home Stay,Non Bintang,Pondok Wisata,10.0,Jl. Wijilan PB 1 No. 21,-7.804608076,110.3660911
Griya Yunika,Non Bintang,Akomodasi Lain,10.0,Gatotkaca No. 10,-7.802893728,110.3501254
Griyo Inggil,Non Bintang,Akomodasi Lain,8.0,Sosrowijayan Wetan GT 1 No. 104,-7.789852338,110.3639445
H Boutique Hotel,Bintang,Bintang Tiga,90.0,Jl. Prof Herman Yohanes No. 1,-7.789884228,110.3638908
Handayani Homestay Yamtana,Non Bintang,Akomodasi Lain,15.0,Sosrowijayan Wetan GT 1/103,-7.790346019,110.3654163
Happy Buddha Hostel,Non Bintang,Akomodasi Lain,7.0,Prawirotaman No. 21,-7.818516496,110.3708134
Happy Family Hotel,Non Bintang,Melati,28.0,Jl. Jlagran No. 10,-7.790534749,110.3604646
Happy Penginapan ,Non Bintang,Melati,7.0,Sosrokusuman DN I/174 Suryatmajan,-7.790225692,110.3674271
Happynest BNB Hostel,Non Bintang,Vila,2.0,Gang Demarkasi Timuran No. 17B,-7.815330344,110.3691489
Harmony Inn Hotel,Non Bintang,Melati,25.0,Jl. Parangtritis Gg. Sartono MJ III/812,-7.819296655,110.3661327
Harper Mangkubumi Yogyakarta Hotel,Bintang,Bintang Empat,131.0,Jl. Mangkubumi No. 52,-7.784442296,110.3671764
Harum Noerika Hotel,Non Bintang,Melati,18.0,Jl. Sosrowijayan GT 1/78,-7.791166338,110.364615
Hasian Motel,Non Bintang,Melati,10.0,Jl. Perwakilan No. 26-27,-7.79243414,110.3671362
HD Inn Homestay,Non Bintang,Pondok Wisata,7.0,Jl. Mayor Suryotomo No. 575,-7.796916235,110.3695019
Hendarum Homestay,Non Bintang,Vila,1.0,Jetisharjo JT 2/374,-7.776865083,110.3689793
Heryon Hotel,Non Bintang,Melati,36.0,Jl. Menteri Supeno No. 28 D,-7.816191436,110.377696
Hidayah Wisma,Non Bintang,Melati,19.0,Jl. H Agus Salim No. 12,-7.804147276,110.3601262
Hinggil Family Homestay,Non Bintang,Akomodasi Lain,8.0,Tentara Rakyat Mataram No. 5,-7.786816647,110.3576517
Hom Platinum/Gowongan,Bintang,Bintang Tiga,112.0,Jl. Gowongan Kidul No. 57,-7.785903376,110.3665554
Home 24 Hotel,Non Bintang,Pondok Wisata,3.0,Jl. Suryatmajan 24,-7.796109401,110.3657233
Home Addicts Hostel,Non Bintang,Akomodasi Lain,14.0,Kapten Tendean Gang Nakula No.2,-7.805222535,110.3503715
Dhaup Utami Isti Astuti Homestay,Non Bintang,Pondok Wisata,8.0,Jl. Panembahan No. 9,-7.805867589,110.3673668
Manggo Tree Homestay,Non Bintang,Pondok Wisata,10.0,Pujokusuman MG I/447,-7.812764309,110.3707267
Ndalem Mantrigawen Thomas Aquinas Homestay,Non Bintang,Pondok Wisata,15.0,Jl. Mantrigawen Lor No. 15,-7.80854821,110.3682947
Omah Djokdja Zulkifli Homestay,Non Bintang,Pondok Wisata,5.0,Jl. Pakaryan No. 3,-7.807546448,110.367385
Wisma Oepomo Homestay,Non Bintang,Melati,7.0,Jl. Suryo Metaraman Wetan No. 18,-7.808435331,110.3684975
Bu Marto Homestay,Non Bintang,Pondok Wisata,4.0,Pajeksan GT I/ 524,-7.79375457,110.3650518
Candra 2 (HOC2) Lowanu Homestay,Non Bintang,Vila,4.0,Lowanu MG III/1323 A,-7.817472783,110.3697375
Chatarina Homestay,Non Bintang,Pondok Wisata,4.0,Sosrowijayan No. 41 ,-7.791042329,110.3631425
Comfy 2 Homestay,Non Bintang,Akomodasi Lain,10.0,Prof. Dr. Sarjito No. 14A,-7.750915866,110.3702848
Mamagayo Inn Homestay,Non Bintang,Pondok Wisata,9.0,Jl. Suryodiningratan No. 42A,-7.81729275,110.3583547
Pondok Puspita Homestay ,Non Bintang,Pondok Wisata,8.0,Jl. Gading No. 5A,-7.812717956,110.3631618
Siti Maryam Homestay,Non Bintang,Pondok Wisata,4.0,Jl. Suryoputran No. 35,-7.809353108,110.366334
Horison Ultima Riss Yogyakarta,Bintang,Bintang Empat,94.0,Jl. Gowongan Kidul No. 33-49,-7.787409637,110.3644008
Horison Urip Sumoharjo,Bintang,Bintang Tiga,108.0,Jl. Urip Sumoharjo 137,-7.782594034,110.3868879
Penak Malioboro Hostel,Non Bintang,Akomodasi Lain,16.0,Gemblakan Atas DN 1/325,-7.79219734,110.3678323
Al-Ashiri Inn Hotel,Non Bintang,Melati,61.0,DI. Panjaitan No.104,-7.821922356,110.3614307
Amarta Hotel,Non Bintang,Melati,27.0,Jl. Dagen No. 12,-7.799203125,110.3408811
Baru Hotel,Non Bintang,Melati,10.0,Jl. Gowongan Kidul No. 19,-7.787397537,110.365255
Dermaga Keluarga Hotel,Non Bintang,Melati,39.0,Jl. RE. Martadinata No. 69 Wirobrajan,-7.800742264,110.3493693
Kumbokarno Utama Hotel,Non Bintang,Melati,24.0,Jl. Mangkubumi No. 60,-7.783443805,110.3670672
